Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Green,13-20,17,1,8,E3 ubiquitin-protein ligase UPL3,protein-coding,Plant
Green,05-Dec,6,1,8,tetraketide alpha-pyrone reductase 1,protein-coding,Plant
Green,05-Dec,5,0,1,uncharacterized LOC102606602,protein-coding,Plant
Green,13-20,14,0,8,"fructose-bisphosphate aldolase 1, chloroplastic",protein-coding,Plant
Yellow,13-20,15,1,8,hypothetical protein,protein-coding,Plant
Green,13-20,16,0,1,uncharacterized LOC102606605,protein-coding,Plant
Green,05-Dec,11,0,1,cyclin-D5-1,protein-coding,Plant
Green,13-20,19,0,8,ataxin-7-like protein 3,protein-coding,Plant
Green,13-20,19,0,2,MLO-like protein 12,protein-coding,Plant
Green,13-20,16,1,9,uncharacterized LOC102606610,protein-coding,Plant
Yellow,13-20,15,1,9,glutathione transferase GST 23-like,protein-coding,Plant
Green,13-20,18,1,9,ankyrin repeat-containing protein ITN1-like,protein-coding,Plant
Green,21-28,26,1,2,hypothetical protein,protein-coding,Plant
Green,13-20,20,0,2,protein DETOXIFICATION 12-like,pseudo,Plant
Green,05-Dec,11,1,2,two-component response regulator ORR21,protein-coding,Plant
Green,13-20,17,1,Un,"protein CURVATURE THYLAKOID 1A, chloroplastic",protein-coding,Plant
Yellow,13-20,18,1,Un,serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform,protein-coding,Plant
Green,13-20,17,0,2,receptor-like protein EIX2,protein-coding,Plant
Yellow,05-Dec,8,0,Un,membrane protein of ER body-like protein,protein-coding,Plant
Green,05-Dec,7,1,3,DNA-directed RNA polymerase V subunit 1,protein-coding,Plant
Green,13-20,16,1,Un,protein trichome birefringence-like 6,protein-coding,Plant
Yellow,05-Dec,6,1,3,cleavage and polyadenylation specificity factor subunit 3-I,protein-coding,Plant
Green,13-20,14,0,Un,uncharacterized LOC102606624,ncRNA,Plant
Green,13-20,17,0,3,uncharacterized LOC102606625,ncRNA,Plant
Green,13-20,18,1,3,"psbP domain-containing protein 7, chloroplastic",protein-coding,Plant
Green,05-Dec,8,0,Un,tubulin-folding cofactor C,protein-coding,Plant
Yellow,21-28,21,0,3,"chlorophyllide a oxygenase, chloroplastic",protein-coding,Plant
Green,21-28,27,0,3,epoxide hydrolase A-like,protein-coding,Plant
Green,13-20,16,1,3,protein-tyrosine-phosphatase PTP1,protein-coding,Plant
Yellow,05-Dec,5,0,3,4-coumarate--CoA ligase-like 5,protein-coding,Plant
Green,21-28,26,1,4,protein FLX-like 4,protein-coding,Plant
Green,13-20,13,0,4,uncharacterized LOC102606634,protein-coding,Plant
Green,13-20,20,1,4,uncharacterized LOC102606636,protein-coding,Plant
Green,13-20,20,1,Un,probable disease resistance protein At5g63020,protein-coding,Plant
Green,13-20,15,0,Un,RNA-dependent RNA polymerase 1-like,protein-coding,Plant
Green,13-20,17,1,4,hypothetical protein,protein-coding,Plant
Red,13-20,16,1,4,cold and drought-regulated protein CORA-like,protein-coding,Plant
Green,21-28,26,0,4,(-)-germacrene D synthase-like,protein-coding,Plant
Green,05-Dec,5,1,4,uncharacterized protein At4g29660,protein-coding,Plant
Green,21-28,23,0,4,serine/threonine-protein kinase VPS15,protein-coding,Plant
Yellow,05-Dec,6,1,4,transcription factor MYBS3-like,protein-coding,Plant
Green,13-20,14,0,4,"pentatricopeptide repeat-containing protein At5g11310, mitochondrial",protein-coding,Plant
Yellow,13-20,14,1,5,mitochondrial outer membrane protein porin of 36 kDa-like,protein-coding,Plant
Yellow,13-20,18,0,5,nucleobase-ascorbate transporter 6,protein-coding,Plant
Green,05-Dec,7,1,5,expansin-A1,protein-coding,Plant
Green,05-Dec,7,0,5,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1-like,protein-coding,Plant
Green,13-20,19,1,5,putative uridine kinase C227.14,protein-coding,Plant
Green,05-Dec,7,1,5,magnesium/proton exchanger,protein-coding,Plant
Green,13-20,18,1,5,2-hydroxyisoflavanone dehydratase-like,pseudo,Plant
Yellow,13-20,14,1,6,uncharacterized LOC102606655,ncRNA,Plant
Green,05-Dec,9,1,6,F-box/FBD/LRR-repeat protein At5g53840-like,protein-coding,Plant
Yellow,13-20,13,1,6,probable LRR receptor-like serine/threonine-protein kinase At3g47570,pseudo,Plant
Green,21-28,24,0,6,uncharacterized LOC102606658,ncRNA,Plant
Green,21-28,22,0,6,nuclear speckle splicing regulatory protein 1-like,protein-coding,Plant
Yellow,13-20,17,0,6,stress-induced protein KIN2,protein-coding,Plant
Yellow,13-20,15,0,6,tubulin alpha-2 chain,protein-coding,Plant
Yellow,13-20,13,0,7,GEM-like protein 5,protein-coding,Plant
Yellow,21-28,27,1,7,EG45-like domain containing protein,protein-coding,Plant
Green,13-20,16,1,7,ubiquitin carboxyl-terminal hydrolase 26,protein-coding,Plant
Yellow,05-Dec,12,0,7,serine/arginine-rich splicing factor RSZ21,protein-coding,Plant
Green,13-20,18,1,7,uncharacterized LOC102606666,protein-coding,Plant
Green,13-20,16,1,7,ENHANCER OF AG-4 protein 2,protein-coding,Plant
Green,05-Dec,8,1,1,T-complex protein 1 subunit gamma,protein-coding,Plant
Green,05-Dec,7,1,7,probable acetyltransferase NATA1-like,protein-coding,Plant
Green,21-28,24,0,1,"photosynthetic NDH subunit of lumenal location 4, chloroplastic",protein-coding,Plant
Green,13-20,15,1,1,putative dual specificity protein phosphatase DSP8,protein-coding,Plant
Green,05-Dec,7,1,1,uncharacterized LOC102606673,protein-coding,Plant
Green,05-Dec,11,1,7,probable serine/threonine-protein kinase PBL7,protein-coding,Plant
Green,05-Dec,12,0,7,DNA replication complex GINS protein PSF3,protein-coding,Plant
Green,13-20,17,0,1,NAC domain-containing protein 7-like,protein-coding,Plant
Yellow,05-Dec,12,1,1,protein FAM32A,protein-coding,Plant
Red,13-20,20,1,1,probable DNA replication complex GINS protein PSF1,protein-coding,Plant
Yellow,05-Dec,7,0,1,probable disease resistance protein At5g63020,pseudo,Plant
Green,05-Dec,10,0,1,homeobox-leucine zipper protein ATHB-15,protein-coding,Plant
Green,13-20,19,1,8,isoflavone reductase homolog PCBER-like,protein-coding,Plant
Green,05-Dec,10,0,1,E3 ubiquitin-protein ligase KEG,protein-coding,Plant
Yellow,05-Dec,5,1,1,zinc finger CCCH domain-containing protein 62-like,protein-coding,Plant
Green,21-28,28,1,1,WD-40 repeat-containing protein MSI4-like,protein-coding,Plant
Yellow,13-20,20,1,1,toll/interleukin-1 receptor-like protein,protein-coding,Plant
Green,13-20,20,0,8,receptor kinase-like protein Xa21,protein-coding,Plant
Green,13-20,15,0,1,kinesin-like protein KIN-8B,protein-coding,Plant
Green,13-20,15,0,1,zinc-finger homeodomain protein 3-like,protein-coding,Plant
Green,13-20,14,0,1,uncharacterized LOC102606692,ncRNA,Plant
Green,05-Dec,5,1,8,uncharacterized LOC102606693,protein-coding,Plant
Green,05-Dec,7,1,1,anthocyanidin 3-O-glucosyltransferase 5-like,protein-coding,Plant
Green,13-20,19,1,8,uncharacterized LOC102606695,protein-coding,Plant
Yellow,05-Dec,8,1,8,SEC14-like protein 5,protein-coding,Plant
Green,13-20,14,1,1,rac-like GTP-binding protein RHO1,protein-coding,Plant
Green,05-Dec,11,0,8,uncharacterized LOC102606698,protein-coding,Plant
Green,21-28,24,1,2,GATA zinc finger domain-containing protein 24,protein-coding,Plant
Green,13-20,16,1,2,uncharacterized LOC102606700,protein-coding,Plant
Green,13-20,16,1,9,uncharacterized LOC102606701,protein-coding,Plant
Green,05-Dec,6,1,9,"probable acylpyruvase FAHD1, mitochondrial",protein-coding,Plant
Green,13-20,19,1,9,acyl-CoA-binding domain-containing protein 6,protein-coding,Plant
Green,21-28,26,1,2,uncharacterized LOC102606704,protein-coding,Plant
Green,13-20,17,0,9,probable prefoldin subunit 2,protein-coding,Plant
Green,13-20,17,0,9,1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,protein-coding,Plant
Green,13-20,16,0,2,trihelix transcription factor ASR3,protein-coding,Plant
Yellow,21-28,27,1,9,chalcone synthase 1,protein-coding,Plant
Green,13-20,18,0,9,ribosomal RNA small subunit methyltransferase nep-1,protein-coding,Plant
Green,13-20,13,0,9,hypothetical protein,protein-coding,Plant
Green,13-20,15,0,9,UDP-glycosyltransferase 76B1-like,protein-coding,Plant
Green,13-20,17,1,9,cyclic nucleotide-gated ion channel 1,protein-coding,Plant
Green,21-28,25,0,2,uncharacterized LOC102606713,protein-coding,Plant
Green,13-20,20,0,9,uncharacterized LOC102606714,protein-coding,Plant
Green,13-20,20,1,Un,putative expansin-B2,protein-coding,Plant
Green,13-20,20,0,Un,myosin-9,protein-coding,Plant
Green,13-20,13,0,2,"cytochrome b6-f complex iron-sulfur subunit, chloroplastic",protein-coding,Plant
Green,13-20,19,1,2,uncharacterized LOC102606719,protein-coding,Plant
Green,13-20,17,0,Un,NAC domain-containing protein 86-like,protein-coding,Plant
Green,13-20,16,0,2,proteasome subunit beta type-7-B,protein-coding,Plant
Green,13-20,17,0,Un,SNARE-interacting protein KEULE-like,protein-coding,Plant
Green,13-20,20,0,Un,peptidyl-prolyl cis-trans isomerase FKBP53-like,protein-coding,Plant
Green,13-20,16,1,2,DNA repair protein UVH3,protein-coding,Plant
Yellow,05-Dec,9,1,2,"photosystem II 5 kDa protein, chloroplastic",protein-coding,Plant
Yellow,05-Dec,10,0,Un,WAT1-related protein At1g25270-like,protein-coding,Plant
Yellow,13-20,20,0,3,lignin-forming anionic peroxidase-like,protein-coding,Plant
Green,13-20,16,0,Un,methyltransferase-like protein 13,protein-coding,Plant
Yellow,13-20,14,1,3,uncharacterized LOC102606729,protein-coding,Plant
Green,05-Dec,12,0,3,"(R)-limonene synthase 1, chloroplastic-like",pseudo,Plant
Green,05-Dec,11,0,3,"heat shock 70 kDa protein, mitochondrial",protein-coding,Plant
Green,05-Dec,8,1,Un,chitinase 10,protein-coding,Plant
Yellow,13-20,19,0,Un,disease resistance protein RPS4-like,protein-coding,Plant
Green,13-20,17,0,Un,peroxidase 59-like,protein-coding,Plant
Green,13-20,18,0,3,acyl-CoA-binding protein,protein-coding,Plant
Yellow,13-20,13,0,3,DNA damage-repair/toleration protein DRT102,protein-coding,Plant
Green,13-20,15,1,Un,hypothetical protein,protein-coding,Plant
Green,21-28,21,0,3,phospholipase D zeta 1,protein-coding,Plant
Green,05-Dec,8,0,3,putative pentatricopeptide repeat-containing protein At1g56570,protein-coding,Plant
Green,13-20,13,1,3,70 kDa peptidyl-prolyl isomerase,protein-coding,Plant
Green,21-28,22,0,Un,phosphatidylinositol 4-phosphate 5-kinase 9,protein-coding,Plant
Green,05-Dec,12,0,Un,50S ribosomal protein L9-like,protein-coding,Plant
Green,13-20,15,0,Un,G-type lectin S-receptor-like serine/threonine-protein kinase SD3-1,protein-coding,Plant
Green,13-20,19,0,3,probable methyltransferase PMT25,protein-coding,Plant
Green,13-20,13,1,3,heat stress transcription factor B-4,protein-coding,Plant
Green,05-Dec,8,1,Un,probable disease resistance protein At4g27220,protein-coding,Plant
Yellow,05-Dec,5,0,4,probable LRR receptor-like serine/threonine-protein kinase At2g24230,protein-coding,Plant
Green,13-20,16,1,Un,F-box protein At3g07870-like,protein-coding,Plant
Yellow,21-28,24,1,4,protein CHLOROPLAST IMPORT APPARATUS 2-like,protein-coding,Plant
Green,05-Dec,5,1,4,organic cation/carnitine transporter 7-like,protein-coding,Plant
Green,21-28,22,1,Un,probable LRR receptor-like serine/threonine-protein kinase At3g47570,protein-coding,Plant
Green,05-Dec,6,1,4,xyloglucan endotransglucosylase/hydrolase protein 24-like,protein-coding,Plant
Red,13-20,16,0,4,probable polygalacturonase,protein-coding,Plant
Green,13-20,19,0,Un,uncharacterized LOC102606759,protein-coding,Plant
Green,05-Dec,7,0,4,probable L-type lectin-domain containing receptor kinase S.7,protein-coding,Plant
Green,13-20,16,0,Un,uncharacterized LOC102606761,ncRNA,Plant
Green,05-Dec,7,1,4,uncharacterized LOC102606763,protein-coding,Plant
Green,13-20,16,0,5,dynamin-related protein 5A,protein-coding,Plant
Green,13-20,13,1,5,aluminum-activated malate transporter 9-like,protein-coding,Plant
Green,13-20,17,0,5,transcription factor GLABRA 3-like,protein-coding,Plant
Green,05-Dec,12,0,5,ribonuclease J,protein-coding,Plant
Green,13-20,16,0,5,reticulon-like protein B9,protein-coding,Plant
Green,13-20,16,1,5,21 kDa seed protein-like,protein-coding,Plant
Green,13-20,20,1,5,B-box zinc finger protein 23-like,protein-coding,Plant
Yellow,21-28,23,1,5,"probable 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",protein-coding,Plant
Green,13-20,13,1,5,protein PIR,protein-coding,Plant
Green,05-Dec,6,0,5,"NADPH-dependent aldehyde reductase-like protein, chloroplastic",protein-coding,Plant
Green,05-Dec,7,0,5,uncharacterized LOC102606775,protein-coding,Plant
Green,05-Dec,7,1,5,cytochrome P450 82C4-like,pseudo,Plant
Red,13-20,14,1,5,haloacid dehalogenase-like hydrolase domain-containing protein At2g33255,protein-coding,Plant
Green,21-28,27,1,6,pleiotropic drug resistance protein 3-like,protein-coding,Plant
Yellow,05-Dec,5,0,6,zinc finger protein JACKDAW,protein-coding,Plant
Green,05-Dec,11,1,6,omega-hydroxypalmitate O-feruloyl transferase,protein-coding,Plant
Green,05-Dec,7,1,6,neutral ceramidase 2,protein-coding,Plant
Green,13-20,14,0,6,uncharacterized protein At3g28850,protein-coding,Plant
Green,05-Dec,9,0,6,B3 domain-containing protein At2g36080,protein-coding,Plant
Green,13-20,14,0,6,E3 ubiquitin-protein ligase RNF14,protein-coding,Plant
Green,13-20,16,1,6,UMP-CMP kinase 3-like,protein-coding,Plant
Green,13-20,17,1,7,vacuolar protein sorting-associated protein 29,protein-coding,Plant
Green,05-Dec,9,0,7,CTD small phosphatase-like protein 2,protein-coding,Plant
Green,13-20,19,1,7,coiled-coil domain-containing protein SCD2-like,protein-coding,Plant
Green,13-20,13,1,7,basic leucine zipper 6,protein-coding,Plant
Red,13-20,18,0,7,WD repeat and HMG-box DNA-binding protein 1,protein-coding,Plant
Green,05-Dec,9,1,7,uncharacterized LOC102606794,pseudo,Plant
Yellow,05-Dec,7,0,7,tetraspanin-6,protein-coding,Plant
Yellow,13-20,13,1,1,WD repeat-containing protein 44-like,protein-coding,Plant
Green,05-Dec,6,0,1,hypothetical protein,protein-coding,Plant
Green,21-28,21,0,7,uncharacterized LOC102606798,protein-coding,Plant
Yellow,13-20,18,1,1,uncharacterized LOC102606799,protein-coding,Plant
Green,21-28,23,1,1,uncharacterized LOC102606800,pseudo,Plant
Green,13-20,13,0,7,BTB/POZ domain-containing protein At3g56230-like,protein-coding,Plant
Green,13-20,14,0,8,uncharacterized LOC102606802,protein-coding,Plant
Yellow,13-20,17,0,8,squalene monooxygenase-like,pseudo,Plant
Yellow,13-20,15,1,8,uncharacterized LOC102606805,protein-coding,Plant
Yellow,13-20,20,1,8,dnaJ homolog subfamily C member 8,protein-coding,Plant
Yellow,13-20,13,1,8,peroxidase 60,protein-coding,Plant
Green,21-28,25,1,8,probable L-type lectin-domain containing receptor kinase II.1,protein-coding,Plant
Green,21-28,28,0,1,nitrate regulatory gene2 protein-like,protein-coding,Plant
Green,05-Dec,11,1,2,pre-mRNA-splicing factor CWC25 homolog,protein-coding,Plant
Red,05-Dec,11,1,2,"cold-regulated 413 inner membrane protein 1, chloroplastic",protein-coding,Plant
Green,05-Dec,11,0,9,"ketol-acid reductoisomerase, chloroplastic",protein-coding,Plant
Green,13-20,15,0,2,uncharacterized LOC102606813,protein-coding,Plant
Green,21-28,26,1,9,"50S ribosomal protein L22, chloroplastic-like",protein-coding,Plant
Green,13-20,18,1,9,basic 7S globulin-like,protein-coding,Plant
Green,13-20,20,0,2,uncharacterized LOC102606816,protein-coding,Plant
Green,13-20,16,0,2,cytochrome P450 716B1-like,protein-coding,Plant
Yellow,13-20,19,1,2,protein BZR1 homolog 2-like,protein-coding,Plant
Green,21-28,27,0,9,uncharacterized LOC102606819,protein-coding,Plant
Green,13-20,14,1,2,uncharacterized LOC102606820,ncRNA,Plant
Green,05-Dec,5,0,9,protein POLYCHOME,protein-coding,Plant
Yellow,05-Dec,9,0,2,"ATP-dependent DNA helicase homolog RECG, chloroplastic",protein-coding,Plant
Green,05-Dec,6,0,2,zinc finger protein CONSTANS-LIKE 9,protein-coding,Plant
Green,21-28,25,1,Un,origin of replication complex subunit 5,protein-coding,Plant
Green,21-28,22,0,2,transmembrane E3 ubiquitin-protein ligase FLY2,protein-coding,Plant
Green,05-Dec,5,1,Un,hypothetical protein,protein-coding,Plant
Red,13-20,17,0,Un,WAT1-related protein At3g30340-like,protein-coding,Plant
Yellow,05-Dec,9,1,Un,"calcium-transporting ATPase 9, plasma membrane-type",protein-coding,Plant
Green,13-20,20,1,Un,probable sugar phosphate/phosphate translocator At1g06470,protein-coding,Plant
Green,13-20,17,0,3,uncharacterized LOC102606834,protein-coding,Plant
Green,21-28,24,1,3,uncharacterized LOC102606835,ncRNA,Plant
Green,05-Dec,10,0,Un,disease resistance-like protein DSC1,protein-coding,Plant
Red,13-20,20,1,3,peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,protein-coding,Plant
Green,13-20,19,1,Un,"putative calcium-transporting ATPase 11, plasma membrane-type",protein-coding,Plant
Green,13-20,20,0,Un,nuclear poly(A) polymerase 1,protein-coding,Plant
Green,13-20,15,0,3,uncharacterized LOC102606840,protein-coding,Plant
Yellow,13-20,19,1,3,probable disease resistance protein At4g27220,protein-coding,Plant
Yellow,13-20,19,1,3,probable rhamnogalacturonate lyase B,protein-coding,Plant
Yellow,13-20,19,1,2,subtilisin-like protease SBT1.7,protein-coding,Plant
Green,13-20,18,0,3,uncharacterized LOC102606844,protein-coding,Plant
Yellow,13-20,18,0,3,eukaryotic translation initiation factor 5,protein-coding,Plant
Green,21-28,28,0,Un,uncharacterized LOC102606846,protein-coding,Plant
Yellow,13-20,17,0,Un,putative disease resistance RPP13-like protein 1,protein-coding,Plant
Green,13-20,17,1,Un,L-type lectin-domain containing receptor kinase S.4-like,protein-coding,Plant
Green,21-28,25,1,Un,probable glutathione S-transferase,protein-coding,Plant
Green,13-20,19,0,Un,uncharacterized LOC102606851,protein-coding,Plant
Green,13-20,17,1,3,uncharacterized protein At1g01500,protein-coding,Plant
Green,05-Dec,12,1,Un,putative RING-H2 finger protein ATL69,protein-coding,Plant
Green,05-Dec,6,1,3,uncharacterized LOC102606854,protein-coding,Plant
Green,21-28,24,1,Un,fucosyltransferase 2-like,protein-coding,Plant
Green,05-Dec,9,1,3,MLO-like protein 9,protein-coding,Plant
Green,13-20,16,0,Un,"peptide chain release factor 1, mitochondrial-like",pseudo,Plant
Green,05-Dec,6,1,4,17.3 kDa class II heat shock protein-like,protein-coding,Plant
Green,05-Dec,7,1,5,bystin,protein-coding,Plant
Yellow,05-Dec,5,1,Un,uncharacterized LOC102606861,ncRNA,Plant
Yellow,05-Dec,7,0,4,protein ACCELERATED CELL DEATH 6-like,protein-coding,Plant
Yellow,13-20,18,1,4,uncharacterized LOC102606863,protein-coding,Plant
Yellow,05-Dec,8,1,5,tRNA (guanine-N(7)-)-methyltransferase-like,protein-coding,Plant
Yellow,05-Dec,9,1,5,probable protein S-acyltransferase 14,protein-coding,Plant
Yellow,13-20,14,1,5,oleosin 18 kDa-like,protein-coding,Plant
Green,13-20,13,1,5,MAR-binding filament-like protein 1-1,protein-coding,Plant
Green,05-Dec,7,1,5,kelch domain-containing protein 3,protein-coding,Plant
Green,13-20,17,0,5,C2 domain-containing protein At1g53590,protein-coding,Plant
Green,05-Dec,11,1,5,disease resistance-like protein DSC1,protein-coding,Plant
Green,05-Dec,10,0,5,uncharacterized LOC102606871,protein-coding,Plant
Green,13-20,18,0,5,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,protein-coding,Plant
Yellow,21-28,23,1,5,uncharacterized LOC102606873,protein-coding,Plant
Green,13-20,18,1,5,"small ribosomal subunit protein S13, mitochondrial",protein-coding,Plant
Green,21-28,22,1,5,ribosome biogenesis protein bms1-like,pseudo,Plant
Green,05-Dec,8,1,5,protein SCARECROW-like,protein-coding,Plant
Green,13-20,20,0,5,non-specific lipid-transfer protein-like protein At2g13820,protein-coding,Plant
Green,13-20,14,1,5,membrane-anchored ubiquitin-fold protein 3,protein-coding,Plant
Green,05-Dec,11,0,6,uncharacterized LOC102606880,protein-coding,Plant
Green,13-20,13,0,6,probable ADP-ribosylation factor GTPase-activating protein AGD6,protein-coding,Plant
Green,21-28,25,1,6,"light-harvesting complex-like protein OHP1, chloroplastic",protein-coding,Plant
Green,13-20,18,1,6,aldose reductase,protein-coding,Plant
Green,13-20,19,1,6,SNW/SKI-interacting protein,protein-coding,Plant
Green,05-Dec,6,0,6,putative serine/threonine-protein kinase,protein-coding,Plant
Yellow,13-20,19,0,6,uncharacterized LOC102606887,protein-coding,Plant
Green,21-28,21,0,6,uncharacterized LOC102606888,protein-coding,Plant
Yellow,05-Dec,6,1,7,uncharacterized LOC102606889,protein-coding,Plant
Green,21-28,22,1,7,uncharacterized LOC102606890,protein-coding,Plant
Yellow,13-20,15,1,7,"WEB family protein At3g02930, chloroplastic-like",protein-coding,Plant
Green,13-20,16,1,7,RNA polymerase sigma factor sigA,protein-coding,Plant
Green,05-Dec,9,1,7,probable lysophospholipase BODYGUARD 4,protein-coding,Plant
Green,05-Dec,7,1,7,"magnesium transporter MRS2-11, chloroplastic",protein-coding,Plant
Green,13-20,14,1,7,3-phosphoinositide-dependent protein kinase 2,protein-coding,Plant
Green,13-20,19,0,7,uncharacterized LOC102606897,ncRNA,Plant
Green,05-Dec,10,1,7,polyamine oxidase-like,protein-coding,Plant
Green,05-Dec,9,1,7,protein EARLY RESPONSIVE TO DEHYDRATION 15-like,protein-coding,Plant
Green,13-20,16,1,8,L-ascorbate oxidase homolog,protein-coding,Plant
Green,21-28,28,1,1,DCN1-like protein 4,protein-coding,Plant
Green,05-Dec,6,0,8,cellulose synthase-like protein D4,protein-coding,Plant
Green,21-28,24,1,1,auxin-responsive protein IAA1,protein-coding,Plant
Green,05-Dec,11,1,8,BTB/POZ domain-containing protein At3g05675-like,protein-coding,Plant
Green,13-20,18,0,8,uncharacterized LOC102606905,ncRNA,Plant
Green,05-Dec,5,0,8,uncharacterized LOC102606906,protein-coding,Plant
Green,21-28,21,0,8,uncharacterized LOC102606907,protein-coding,Plant
Yellow,13-20,13,0,1,uncharacterized LOC102606908,ncRNA,Plant
Green,05-Dec,10,1,1,BTB/POZ and TAZ domain-containing protein 4,protein-coding,Plant
